10
1	1	0	0
1	2	34	414
1	3	45	1426
1	4	84	315
1	5	426	528
1	6	51	522
1	7	11	1169
1	8	8	2066
1	9	453	280
1	10	5	899
2	1	34	414
2	2	0	0
2	3	131	1833
2	4	6	167
2	5	693	852
2	6	80	784
2	7	24	1574
2	8	5	2454
2	9	1262	288
2	10	22	1275
3	1	45	1426
3	2	131	1833
3	3	0	0
3	4	36	1738
3	5	398	1269
3	6	37	1412
3	7	390	613
3	8	40	704
3	9	1215	1670
3	10	54	950
4	1	84	315
4	2	6	167
4	3	36	1738
4	4	0	0
4	5	452	692
4	6	26	618
4	7	9	1438
4	8	3	2381
4	9	5	121
4	10	7	1124
5	1	426	528
5	2	693	852
5	3	398	1269
5	4	452	692
5	5	0	0
5	6	3746	143
5	7	533	812
5	8	45	1969
5	9	6469	576
5	10	1223	449
6	1	51	522
6	2	80	784
6	3	37	1412
6	4	26	618
6	5	3746	143
6	6	0	0
6	7	31	948
6	8	11	2111
6	9	448	498
6	10	70	573
7	1	11	1169
7	2	24	1574
7	3	390	613
7	4	9	1438
7	5	533	812
7	6	31	948
7	7	0	0
7	8	6	1288
7	9	230	1340
7	10	198	391
8	1	8	2066
8	2	5	2454
8	3	40	704
8	4	3	2381
8	5	45	1969
8	6	11	2111
8	7	6	1288
8	8	0	0
8	9	29	2328
8	10	1	1649
9	1	453	280
9	2	1262	288
9	3	1215	1670
9	4	5	121
9	5	6469	576
9	6	448	498
9	7	230	1340
9	8	29	2328
9	9	0	0
9	10	161	1014
10	1	5	899
10	2	22	1275
10	3	54	950
10	4	7	1124
10	5	1223	449
10	6	70	573
10	7	198	391
10	8	1	1649
10	9	161	1014
10	10	0	0
