15
1	1	0	0
1	2	34	414
1	3	45	1426
1	4	84	315
1	5	426	528
1	6	51	522
1	7	11	1169
1	8	8	2066
1	9	453	280
1	10	5	899
1	11	2	1035
1	12	4	297
1	13	70	585
1	14	338	549
1	15	1	435
2	1	34	414
2	2	0	0
2	3	131	1833
2	4	6	167
2	5	693	852
2	6	80	784
2	7	24	1574
2	8	5	2454
2	9	1262	288
2	10	22	1275
2	11	11	1425
2	12	4	117
2	13	127	946
2	14	5592	145
2	15	245	115
3	1	45	1426
3	2	131	1833
3	3	0	0
3	4	36	1738
3	5	398	1269
3	6	37	1412
3	7	390	613
3	8	40	704
3	9	1215	1670
3	10	54	950
3	11	64	813
3	12	22	1719
3	13	88	1138
3	14	1187	1973
3	15	1	1860
4	1	84	315
4	2	6	167
4	3	36	1738
4	4	0	0
4	5	452	692
4	6	26	618
4	7	9	1438
4	8	3	2381
4	9	5	121
4	10	7	1124
4	11	2	1279
4	12	0	120
4	13	70	792
4	14	2548	258
4	15	0	180
5	1	426	528
5	2	693	852
5	3	398	1269
5	4	452	692
5	5	0	0
5	6	3746	143
5	7	533	812
5	8	45	1969
5	9	6469	576
5	10	1223	449
5	11	279	619
5	12	131	749
5	13	8364	134
5	14	7629	946
5	15	9	809
6	1	51	522
6	2	80	784
6	3	37	1412
6	4	26	618
6	5	3746	143
6	6	0	0
6	7	31	948
6	8	11	2111
6	9	448	498
6	10	70	573
6	11	16	748
6	12	11	692
6	13	317	277
6	14	748	861
6	15	1	725
7	1	11	1169
7	2	24	1574
7	3	390	613
7	4	9	1438
7	5	533	812
7	6	31	948
7	7	0	0
7	8	6	1288
7	9	230	1340
7	10	198	391
7	11	324	222
7	12	36	1458
7	13	102	681
7	14	452	1695
7	15	6	1564
8	1	8	2066
8	2	5	2454
8	3	40	704
8	4	3	2381
8	5	45	1969
8	6	11	2111
8	7	6	1288
8	8	0	0
8	9	29	2328
8	10	1	1649
8	11	1	1502
8	12	2	2346
8	13	20	1840
8	14	86	2599
8	15	0	2510
9	1	453	280
9	2	1262	288
9	3	1215	1670
9	4	5	121
9	5	6469	576
9	6	448	498
9	7	230	1340
9	8	29	2328
9	9	0	0
9	10	161	1014
9	11	91	1173
9	12	37	212
9	13	1574	682
9	14	12999	370
9	15	10	232
10	1	5	899
10	2	22	1275
10	3	54	950
10	4	7	1124
10	5	1223	449
10	6	70	573
10	7	198	391
10	8	1	1649
10	9	161	1014
10	10	0	0
10	11	161	176
10	12	1	1164
10	13	199	332
10	14	99	1381
10	15	0	1260
11	1	2	1035
11	2	11	1425
11	3	64	813
11	4	2	1279
11	5	279	619
11	6	16	748
11	7	324	222
11	8	1	1502
11	9	91	1173
11	10	161	176
11	11	0	0
11	12	2	1312
11	13	108	495
11	14	100	1537
11	15	2	1402
12	1	4	297
12	2	4	117
12	3	22	1719
12	4	0	120
12	5	131	749
12	6	11	692
12	7	36	1458
12	8	2	2346
12	9	37	212
12	10	1	1164
12	11	2	1312
12	12	0	0
12	13	14	837
12	14	1007	255
12	15	1	164
13	1	70	585
13	2	127	946
13	3	88	1138
13	4	70	792
13	5	8364	134
13	6	317	277
13	7	102	681
13	8	20	1840
13	9	1574	682
13	10	199	332
13	11	108	495
13	12	14	837
13	13	0	0
13	14	1163	1050
13	15	1	913
14	1	338	549
14	2	5592	145
14	3	1187	1973
14	4	2548	258
14	5	7629	946
14	6	748	861
14	7	452	1695
14	8	86	2599
14	9	12999	370
14	10	99	1381
14	11	100	1537
14	12	1007	255
14	13	1163	1050
14	14	0	0
14	15	2067	137
15	1	1	435
15	2	245	115
15	3	1	1860
15	4	0	180
15	5	9	809
15	6	1	725
15	7	6	1564
15	8	0	2510
15	9	10	232
15	10	0	1260
15	11	2	1402
15	12	1	164
15	13	1	913
15	14	2067	137
15	15	0	0
